Name_submitted,Accepted_name,Order,Matrix_name,Major Clade,Sample_Number,Sample_ID,Sample,Leaf Side,solidity8,wl_ratio
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.2.13,3.04.2,3.04,abaxial,0.1766123973370961,0.23403806893407328
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.2.14,3.04.2,3.04,abaxial,0.03842961797053702,0.40873089816543084
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.2.15,3.04.2,3.04,abaxial,0.1432653450247696,0.5770030178966449
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.2.16,3.04.2,3.04,abaxial,0.3194468376649271,0.6266726354744142
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.2.17,3.04.2,3.04,abaxial,0.5770888028728015,0.44953161789298707
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.2.18,3.04.2,3.04,abaxial,0.17862200361201144,0.6060765339719353
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.2.19,3.04.2,3.04,abaxial,0.6465172557129986,0.3140049359581012
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.2.2,3.04.2,3.04,abaxial,0.24750559608042422,0.606861292551118
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.2.20,3.04.2,3.04,abaxial,0.1493386107833568,0.4008216904762378
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.2.21,3.04.2,3.04,abaxial,0.22742155714791035,0.6390660869382719
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.2.22,3.04.2,3.04,abaxial,0.3873757286563388,0.34044091985791625
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.2.23,3.04.2,3.04,abaxial,0.30476607505828185,0.4613969800984644
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.2.24,3.04.2,3.04,abaxial,0.14670215681720142,0.5760570039605827
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.2.25,3.04.2,3.04,abaxial,0.17274027290268268,0.5345775155569593
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.2.26,3.04.2,3.04,abaxial,0.1852612374467336,0.6306949500219187
